ts,symbol,event,side,price,size,entry,exit,gross_pnl,net_pnl,reason
2026-03-13T22:29:31.346771074+03:00,BTC-USDT,enter,short,71076.40000000,1.00000000,71076.40000000,0.00000000,0.00000000,0.00000000,ising_short_signal
2026-03-13T22:29:32.911562741+03:00,BTC-USDT,exit,short,71077.55370000,1.00000000,71076.40000000,71077.55370000,-1.15370000,-143.30765370,ising_reversal_short
2026-03-13T22:29:38.518816071+03:00,BTC-USDT,enter,short,71065.00000000,1.00000000,71065.00000000,0.00000000,0.00000000,0.00000000,ising_short_signal
2026-03-13T22:29:39.040622257+03:00,BTC-USDT,exit,short,71068.65325500,1.00000000,71065.00000000,71068.65325500,-3.65325500,-145.78690826,ising_reversal_short
2026-03-13T22:29:39.887008727+03:00,BTC-USDT,enter,short,71062.10000000,1.00000000,71062.10000000,0.00000000,0.00000000,0.00000000,ising_short_signal
2026-03-13T22:29:41.175265563+03:00,BTC-USDT,exit,short,71065.75311000,1.00000000,71062.10000000,71065.75311000,-3.65311000,-145.78096311,ising_reversal_short
2026-03-13T22:29:42.07047451+03:00,BTC-USDT,enter,short,71062.10000000,1.00000000,71062.10000000,0.00000000,0.00000000,0.00000000,ising_short_signal
2026-03-13T22:29:43.139058028+03:00,BTC-USDT,exit,short,71065.85311500,1.00000000,71062.10000000,71065.85311500,-3.75311500,-145.88106811,ising_reversal_short
2026-03-13T22:31:05.040533371+03:00,BTC-USDT,enter,short,71182.90000000,1.00000000,71182.90000000,0.00000000,0.00000000,0.00000000,ising_short_signal
2026-03-13T22:31:06.884634513+03:00,BTC-USDT,exit,short,71179.85881500,1.00000000,71182.90000000,71179.85881500,3.04118500,-139.32157382,ising_reversal_short
2026-03-13T22:31:07.293409544+03:00,BTC-USDT,enter,short,71176.20000000,1.00000000,71176.20000000,0.00000000,0.00000000,0.00000000,ising_short_signal
2026-03-13T22:31:09.73055951+03:00,BTC-USDT,exit,short,71179.85881500,1.00000000,71176.20000000,71179.85881500,-3.65881500,-146.01487382,ising_reversal_short
2026-03-13T22:31:38.731558141+03:00,BTC-USDT,enter,short,71190.10000000,1.00000000,71190.10000000,0.00000000,0.00000000,0.00000000,ising_short_signal
2026-03-13T22:31:39.447528399+03:00,BTC-USDT,exit,short,71193.75951000,1.00000000,71190.10000000,71193.75951000,-3.65951000,-146.04336951,ising_reversal_short
